case_id,family,idea,dsl,source,operators
op_case_0000,rare_xs_median,市净率 PB相对当日横截面中位数的偏离越高，相对水平越强。,"sub(pb, xs_median(pb))",rare_operator_booster,"sub,xs_median"
op_case_0001,rare_xs_median_abs,市净率 PB偏离横截面中位数的绝对幅度越大，异常程度越高。,"absolute(sub(pb, xs_median(pb)))",rare_operator_booster,"absolute,sub,xs_median"
op_case_0002,rare_xs_quantile,市净率 PB相对当日横截面 0.2 分位数的偏离越高，位置越高。,"sub(pb, xs_quantile(pb, 0.2))",rare_operator_booster,"sub,xs_quantile"
op_case_0003,rare_xs_quantile,市净率 PB相对当日横截面 0.5 分位数的偏离越高，位置越高。,"sub(pb, xs_quantile(pb, 0.5))",rare_operator_booster,"sub,xs_quantile"
op_case_0004,rare_xs_quantile,市净率 PB相对当日横截面 0.8 分位数的偏离越高，位置越高。,"sub(pb, xs_quantile(pb, 0.8))",rare_operator_booster,"sub,xs_quantile"
op_case_0005,value,PB 越低越便宜，使用 PB 的倒数表示价值暴露。,recip(pb),fundamental,recip
op_case_0006,value_log,对 PB 倒数取自然对数，压缩极端估值暴露。,log(recip(pb)),fundamental,"log,recip"
op_case_0007,value_sqrt,对 PB 倒数取平方根，降低极端低 PB 股票影响。,sqrt(recip(pb)),fundamental,"sqrt,recip"
op_case_0008,value_size,同时偏好低 PB 和小市值股票。,"add(recip(pb), neg(log(market_cap)))",fundamental,"add,recip,neg,log"
op_case_0009,value_momentum,同时偏好低 PB 和 20 日价格动量较强的股票。,"add(recip(pb), pct_change(close, 20))",fundamental,"add,recip,pct_change"
op_case_0010,quality_price,PB 倒数相对波动越高，估值暴露的稳定性越好。,"div(recip(pb), ts_std(pct_change(close, 1), 20))",fundamental,"div,recip,ts_std,pct_change"
op_case_0011,xs_mean_gap_pb,市净率 PB高于当日横截面均值越多，相对市场水平越高。,"sub(pb, xs_mean(pb))",cross_section,"sub,xs_mean"
op_case_0012,xs_std_score_pb,对市净率 PB做横截面标准化，衡量相对市场偏离。,"div(sub(pb, xs_mean(pb)), xs_std(pb))",cross_section,"div,sub,xs_std,xs_mean"
op_case_0013,xs_share_pb,个股市净率 PB占当日横截面总量比例越高，权重越大。,"div(pb, xs_sum(pb))",cross_section,"div,xs_sum"
op_case_0014,v21_group_mean_gap_extra_pb,市净率 PB高于行业均值越多，行业内相对水平越高。,"sub(pb, group_mean(pb, industry))",group_v21,"sub,group_mean"
op_case_0015,group_zscore_pb,在行业内对市净率 PB做标准化，得到行业中性暴露。,"div(sub(pb, group_mean(pb, industry)), group_std(pb, industry))",group,"div,sub,group_std,group_mean"
op_case_0016,group_relative_pb,市净率 PB相对行业均值的比例越高，行业内相对强度越高。,"div(pb, group_mean(pb, industry))",group,"div,group_mean"
op_case_0017,xs_corr_pb_market_cap,在同一交易日横截面上计算市净率 PB和总市值的相关性。,"xs_corr(pb, market_cap)",cross_section,xs_corr
op_case_0018,relative_share_pb_market_cap,市净率 PB占比高于总市值占比越多，相对关注度越异常。,"sub(div(pb, xs_sum(pb)), div(market_cap, xs_sum(market_cap)))",cross_section,"sub,div,div,xs_sum,xs_sum"
op_case_0019,v21_industry_value,在行业内对低 PB 价值暴露做标准化，得到行业中性估值信号。,"div(sub(recip(pb), group_mean(recip(pb), industry)), group_std(recip(pb), industry))",group_v21,"div,sub,group_std,recip,group_mean,recip,recip"
op_case_0020,v21_value_abs_value,衡量低 PB 价值暴露相对横截面的异常偏离幅度。,"absolute(div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))",cross_section_v21,"absolute,div,sub,xs_std,recip,xs_mean,recip,recip"
op_case_0021,v21_industry_value_log,在行业内对低 PB 价值暴露的自然对数压缩做标准化，得到行业中性估值信号。,"div(sub(log(recip(pb)), group_mean(log(recip(pb)), industry)), group_std(log(recip(pb)), industry))",group_v21,"div,sub,group_std,log,group_mean,log,recip,log,recip,recip"
op_case_0022,v21_value_abs_value_log,衡量低 PB 价值暴露的自然对数压缩相对横截面的异常偏离幅度。,"absolute(div(sub(log(recip(pb)), xs_mean(log(recip(pb)))), xs_std(log(recip(pb)))))",cross_section_v21,"absolute,div,sub,xs_std,log,xs_mean,log,recip,log,recip,recip"
op_case_0023,v21_industry_value_sqrt,在行业内对低 PB 价值暴露的平方根压缩做标准化，得到行业中性估值信号。,"div(sub(sqrt(recip(pb)), group_mean(sqrt(recip(pb)), industry)), group_std(sqrt(recip(pb)), industry))",group_v21,"div,sub,group_std,sqrt,group_mean,sqrt,recip,sqrt,recip,recip"
op_case_0024,v21_value_abs_value_sqrt,衡量低 PB 价值暴露的平方根压缩相对横截面的异常偏离幅度。,"absolute(div(sub(sqrt(recip(pb)), xs_mean(sqrt(recip(pb)))), xs_std(sqrt(recip(pb)))))",cross_section_v21,"absolute,div,sub,xs_std,sqrt,xs_mean,sqrt,recip,sqrt,recip,recip"
op_case_0025,v21_value_rank_like,用PB 倒数的横截面标准化价值刻画估值便宜程度，得分越高表示相对越便宜。,"div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb)))",fundamental_v21,"div,sub,xs_std,recip,xs_mean,recip,recip"
