id,split_type,family,prompt,expected_dsl,expected_code,prediction,manual_score,notes,error_type
code_gen_0579,generalization_time_series_paraphrase,gen_quantile_value,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：从量化研究角度，估值便宜程度高于自身 85 日 70% 分位数越多，价值信号越突出。最终只需要一个可执行表达式。,"sub(recip(pb), ts_quantile(recip(pb), 85, 0.7))","```dsl_fire
result = sub(recip(pb), ts_quantile(recip(pb), 85, 0.7))
```","```dsl_fire
result = div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb)))
```",,,semantic_mismatch
code_gen_0566,generalization_regression_paraphrase,gen_corr_flow_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，用 42 日滚动相关衡量换手代理和日收益同步性。注意窗口、方向和字段选择。,"ts_corr(div(volume, market_cap), pct_change(close, 1), 42)","```dsl_fire
result = ts_corr(div(volume, market_cap), pct_change(close, 1), 42)
```","```dsl_fire
result = div(ts_mean(volume, 45)), sub(pct_change(close, 45), 45)
```",,,execution_error
code_gen_0553,generalization_regression_paraphrase,gen_reg_value_size,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：把这个 alpha 逻辑写成表达式：用 22 日滚动回归提取估值相对市值解释后的残差。这个想法需要转换为函数式 DSL。,"ts_reg_res(recip(pb), log(market_cap), 22)","```dsl_fire
result = ts_reg_res(recip(pb), log(market_cap), 22)
```","</think>




```dsl_fire
result = ts_f(recip(pb), pct_change(close, 2), 2), 2)
```",,,format_error
code_gen_0151,generalization_time_series,gen_argmin_close,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：收盘价在 27 日窗口内低点位置用于描述路径。,"ts_argmin(close, 27)","```dsl_fire
result = ts_argmin(close, 27)
```","```dsl_fire
result = div(sub(close, 2), group_mean(close, 2), 2)

```",,,execution_error
code_gen_0365,generalization_time_series_paraphrase,gen_argmin_market_cap,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，总市值在 66 日窗口内低点位置用于描述路径。请保持字段和算子命名规范。,"ts_argmin(market_cap, 66)","```dsl_fire
result = ts_argmin(market_cap, 66)
```","```dsl_fire
result = div(sub(market_cap, group_mean(market_cap, 20), industry)), group_stdd(log(market_cap, 20)), log(market_cap)
```",,,execution_error
code_gen_0078,generalization_conditional,gen_value_momentum_gate,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：只有估值便宜且 28 日动量高于市场均值时，才保留价值动量组合。,"where(logical_and(gt(recip(pb), xs_mean(recip(pb))), gt(pct_change(close, 28), xs_mean(pct_change(close, 28)))), add(recip(pb), pct_change(close, 28)), 0.0)","```dsl_fire
result = where(logical_and(gt(recip(pb), xs_mean(recip(pb))), gt(pct_change(close, 28), xs_mean(pct_change(close, 28)))), add(recip(pb), pct_change(close, 28)), 0.0)
```","```dsl_fire
result = where(gt), ge(logical_mean(gt(recip(pb), xs_mean(recip(pb))), gt(log1p(recip(pb), xs_mean(recip(pb))), xs_mean(recip(pb))), pct_change(close, 20)), 0.0)
```",,,execution_error
code_gen_0389,generalization_time_series_paraphrase,gen_argmin_close,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，收盘价在 17 日窗口内低点位置用于描述路径。最终只需要一个可执行表达式。,"ts_argmin(close, 17)","```dsl_fire
result = ts_argmin(close, 17)
```","```dsl_fire
result = ts_argmaxminimum(close, 10000.0)
```",,,execution_error
code_gen_0302,generalization_regression_paraphrase,gen_corr_flow_return,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，用 9 日滚动相关衡量换手代理和日收益同步性。不要使用解释文字。,"ts_corr(div(volume, market_cap), pct_change(close, 1), 9)","```dsl_fire
result = ts_corr(div(volume, market_cap), pct_change(close, 1), 9)
```","```dsl_fire
result = ts_corr(pct_change(close, 20), volume, 90)

```",,,execution_error
code_gen_0416,generalization_conditional_paraphrase,gen_conditional_xs_high_19,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：作为教学样例，只有最高价横截面标准化值为正时，才保留 19 日动量。注意窗口、方向和字段选择。,"where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 19), 0.0)","```dsl_fire
result = where(gt(div(sub(high, xs_mean(high)), xs_std(high)), 0.0), pct_change(close, 19), 0.0)
```","```dsl_fire
result = where(gt(pct_change(close, 20), xs_mean(pct_change(close, 20))), div(sub(recip(pb), xs_mean(recip(pb))), xs_std(recip(pb))))
```",,,execution_error
code_gen_0114,generalization_time_series,gen_argmax_pb,请把这个未见过的金融想法转成 `dsl_fire` 代码块，代码块内只写 result 赋值：市净率 PB在 66 日窗口内高点越靠近当前，信号越新。,"neg(ts_argmax(pb, 66))","```dsl_fire
result = neg(ts_argmax(pb, 66))
```","</think>

</think>

```dsl_fire
result = ts_fire

```",,,format_error
